Datetime Beginning UTC,Datetime Beginning EPT,Pnode ID,Pnode Name,Voltage,Equipment,Type,Zone,System Energy Price RT,Total LMP RT,Congestion Price RT,Marginal Loss Price RT,Row Is Current,Version Number
2024-08-02T04:00:00,2024-08-02T00:00:00,48681,LAKENELS,230 KV,T-1,LOAD,PSEG,40.400000,34.900000,-6.490000,1.000000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48682,LAKENELS,230 KV,T-2,LOAD,PSEG,40.400000,34.810000,-6.570000,0.990000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48687,MINUEST,230 KV,T-1,LOAD,PSEG,40.400000,35.940000,-5.450000,1.000000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48688,MINUEST,230 KV,T-2,LOAD,PSEG,40.400000,36.160000,-5.270000,1.030000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48707,NEWP PS,230 KV,T-1,LOAD,PSEG,40.400000,36.680000,-5.160000,1.450000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48708,NEWP PS,230 KV,T-2,LOAD,PSEG,40.400000,36.680000,-5.160000,1.450000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48714,NBERGEN,230 KV,T-1,LOAD,PSEG,40.400000,36.850000,-5.050000,1.510000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48715,PENHORN,230 KV,T-1,LOAD,PSEG,40.400000,36.710000,-5.130000,1.450000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48716,PENHORN,230 KV,T-2,LOAD,PSEG,40.400000,36.660000,-5.170000,1.430000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48717,PIERSOAV,230 KV,T-1,LOAD,PSEG,40.400000,35.430000,-5.900000,0.940000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48718,PIERSOAV,230 KV,T-2,LOAD,PSEG,40.400000,35.440000,-5.890000,0.940000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48725,SEWAREN,26 KV,26KV,LOAD,PSEG,40.400000,35.610000,-5.730000,0.950000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48727,SOMERVIL,230 KV,T-1,LOAD,PSEG,40.400000,34.520000,-6.710000,0.840000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48728,SOMERVIL,230 KV,T-2,LOAD,PSEG,40.400000,34.520000,-6.710000,0.840000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48744,WALDWICK,230 KV,T-10,LOAD,PSEG,40.400000,37.710000,-4.130000,1.440000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48745,WALDWICK,230 KV,T-20,LOAD,PSEG,40.400000,38.740000,-2.970000,1.310000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48747,WARINANC,230 KV,T-1,LOAD,PSEG,40.400000,36.150000,-5.400000,1.150000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48748,WARINANC,230 KV,T-2,LOAD,PSEG,40.400000,36.150000,-5.400000,1.150000,true,1
