Evaluated At UTC,Evaluated At EPT,Forecast Hour Beginning UTC,Forecast Hour Beginning EPT,Forecast Area,Forecast Load MW
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,MIDATL,37524
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,MIDATL,37563
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,MIDATL,37563
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,MIDATL,37563
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,RTO,105871
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,RTO,105930
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,RTO,105954
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,RTO,105954
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T04:00:00,2024-08-02T00:00:00,RTO,105954
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,AEP,15157
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,AEP,15073
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,AEP,15075
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,AEP,15075
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,AEP,15075
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,APS,5542
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,APS,5573
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,APS,5584
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,APS,5584
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,APS,5584
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,COMED,11887
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,COMED,11873
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,COMED,11826
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,COMED,11826
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,COMED,11826
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DEOK,3172
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DEOK,3148
